,location index,lat,lon,location
132,132,-37.78971929,144.83140759999998,"89 Hampshire Rd, Sunshine VIC 3020, Australia"
133,133,-37.7887659,144.83169099999998,"134 Hampshire Rd, Sunshine VIC 3020, Australia"
134,134,-37.72784168,144.79389630000003,"200A Taylors Rd, Keilor Downs VIC 3038, Australia"
135,135,-38.0109227,145.1407151,"8 State Route 12, Braeside VIC 3195, Australia"
136,136,-37.95938486,145.2068057,"Unit 10/160 Gladstone Rd, Dandenong North VIC 3175, Australia"
137,137,-37.9614232,145.20642790000002,"179 Gladstone Rd, Dandenong North VIC 3175, Australia"
138,138,-38.00674788,145.086516,"Mordialloc, Melbourne VIC 3195, Australia"
139,139,-38.00659344,145.08639069999998,"Mordialloc, Melbourne VIC 3195, Australia"
140,140,-37.99210487,145.0820064,"372a Nepean Highway Service Road, Parkdale VIC 3195, Australia"
141,141,-37.9826156,145.0711904,"83b Warrigal Rd, Mentone VIC 3194, Australia"
142,142,-37.98815769,145.07036259999998,"41 Warrigal Rd, Mentone VIC 3194, Australia"
143,143,-37.64977799,145.00401730000002,"310 Cooper St, Epping VIC 3076, Australia"
144,144,-37.65500672,145.031288,"Epping VIC 3076, Australia"
145,145,-37.6170535,145.1363024,"50 Barak Parade, Doreen VIC 3754, Australia"
146,146,-37.61998432,145.1357755,"770 Yan Yean Rd, Yarrambat VIC 3091, Australia"
147,147,-37.79407435,145.28068080000003,"5-15 Kent Ave, Croydon VIC 3136, Australia"
148,148,-37.77496071,145.3632756,"350 C401, Mount Evelyn VIC 3796, Australia"
149,149,-37.81143076,145.3387947,"866 Mt Dandenong Rd, Montrose VIC 3765, Australia"
150,150,-37.76892783,145.41253369999998,"40 Victoria Rd, Wandin North VIC 3139, Australia"
